map,seed,quality,skip_budget,status,orders,num_tasks,num_candidates,target,target_verb,target_obj,target_serves_soup,natural_rank,natural_rank_agent,excess,makespan_baseline_s,makespan_constrained_s,loss_s,constrained_rank,inserted_count,inserted_total_s,inserted_durations_s,baseline_status,constrained_status,baseline_solve_s,constrained_solve_s
ring,0,good,0,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,1,21.2,22.0,0.8,0,0,0,,OPTIMAL,OPTIMAL,0.1197,0.0291
ring,0,good,2,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0184,0.028
ring,0,good,4,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0173,0.0297
ring,0,bad,0,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0198,0.0176
ring,0,bad,2,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0172,0.0179
ring,0,bad,4,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_onion,chop,onion,0,0,1,0,21.2,21.2,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0164,0.017
ring,0,random,0,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,1,21.2,22.0,0.8,0,0,0,,OPTIMAL,OPTIMAL,0.0174,0.0258
ring,0,random,2,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0186,0.0286
ring,0,random,4,ok,OnionTomatoSalad|TomatoLettuceSalad|TomatoLettuceSoup,10,7,chop_tomato,chop,tomato,1,1,0,0,21.2,21.2,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0207,0.0297
ring,1,good,0,ok,OnionLettuceSalad|FullSalad|OnionTomatoSoup,11,7,chop_tomato,chop,tomato,1,1,0,1,20.6,21.8,1.2,0,0,0,,OPTIMAL,OPTIMAL,0.0291,0.0343
