map,preset,seed,quality,skip_budget,status,orders,num_tasks,num_candidates,target,target_verb,target_obj,target_serves_soup,natural_rank,natural_rank_agent,excess,makespan_baseline_s,makespan_constrained_s,loss_s,constrained_rank,inserted_count,inserted_total_s,inserted_durations_s,baseline_status,constrained_status,baseline_solve_s,constrained_solve_s
experiment,experiment2,0,good,0,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0101,0.0104
experiment,experiment2,0,good,2,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0081,0.0129
experiment,experiment2,0,good,4,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0072,0.0107
experiment,experiment2,0,bad,0,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,4,0,4,23.1,27.1,4.0,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.0056
experiment,experiment2,0,bad,2,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,4,0,2,23.1,25.9,2.8,2,2,4.1,2.0|2.1,OPTIMAL,OPTIMAL,0.0067,0.0088
experiment,experiment2,0,bad,4,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,4,0,0,23.1,23.1,0.0,4,4,6.2,2.0|2.1|0.4|1.7,OPTIMAL,OPTIMAL,0.0068,0.009
experiment,experiment2,0,random,0,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,0,0,1,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.007,0.0073
experiment,experiment2,0,random,2,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,0,0,1,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0069,0.0093
experiment,experiment2,0,random,4,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,0,0,1,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0078,0.01
experiment,experiment2,1,good,0,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.0063
experiment,experiment2,1,good,2,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0069,0.0131
experiment,experiment2,1,good,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.0084
experiment,experiment2,1,bad,0,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_orange,chop,orange,0,4,0,4,23.1,27.3,4.2,0,0,0,,OPTIMAL,OPTIMAL,0.0065,0.0062
experiment,experiment2,1,bad,2,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_orange,chop,orange,0,4,0,2,23.1,26.1,3.0,2,2,4.1,2.0|2.1,OPTIMAL,OPTIMAL,0.0075,0.0105
experiment,experiment2,1,bad,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_orange,chop,orange,0,4,0,0,23.1,23.1,0.0,4,4,6.3,2.0|2.1|0.4|1.8,OPTIMAL,OPTIMAL,0.0073,0.0163
experiment,experiment2,1,random,0,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0067,0.0061
experiment,experiment2,1,random,2,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0064,0.0082
experiment,experiment2,1,random,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0068,0.0089
experiment,experiment2,2,good,0,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.0094
experiment,experiment2,2,good,2,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0076,0.015
experiment,experiment2,2,good,4,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0067,0.0102
experiment,experiment2,2,bad,0,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,4,0,4,20.5,24.7,4.2,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.0061
experiment,experiment2,2,bad,2,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,4,0,2,20.5,20.5,0.0,2,2,2.5,2.1|0.4,OPTIMAL,OPTIMAL,0.01,0.009
experiment,experiment2,2,bad,4,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,4,0,0,20.5,20.5,0.0,4,4,6.9,2.1|0.4|1.7|2.7,OPTIMAL,OPTIMAL,0.0066,0.0086
experiment,experiment2,2,random,0,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,4,0,4,20.5,24.7,4.2,0,0,0,,OPTIMAL,OPTIMAL,0.0066,0.006
experiment,experiment2,2,random,2,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,4,0,2,20.5,20.5,0.0,2,2,2.5,2.1|0.4,OPTIMAL,OPTIMAL,0.0065,0.0105
experiment,experiment2,2,random,4,ok,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,12,11,chop_banana,chop,banana,0,4,0,0,20.5,20.5,0.0,4,4,6.9,2.1|0.4|1.7|2.7,OPTIMAL,OPTIMAL,0.0066,0.0087
experiment,experiment2,3,good,0,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_lettuce,chop,lettuce,1,1,0,1,23.1,23.3,0.2,0,0,0,,OPTIMAL,OPTIMAL,0.0063,0.0112
experiment,experiment2,3,good,2,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_lettuce,chop,lettuce,1,1,0,0,23.1,23.1,0.0,1,1,2.0,2.0,OPTIMAL,OPTIMAL,0.0118,0.0101
experiment,experiment2,3,good,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_lettuce,chop,lettuce,1,1,0,0,23.1,23.1,0.0,1,1,2.0,2.0,OPTIMAL,OPTIMAL,0.0065,0.0096
experiment,experiment2,3,bad,0,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_orange,chop,orange,0,4,0,4,23.1,27.3,4.2,0,0,0,,OPTIMAL,OPTIMAL,0.0062,0.0061
experiment,experiment2,3,bad,2,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_orange,chop,orange,0,4,0,2,23.1,26.1,3.0,2,2,4.1,2.0|2.1,OPTIMAL,OPTIMAL,0.0071,0.0104
experiment,experiment2,3,bad,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,chop_orange,chop,orange,0,4,0,0,23.1,23.1,0.0,4,4,6.3,2.0|2.1|0.4|1.8,OPTIMAL,OPTIMAL,0.0073,0.0108
experiment,experiment2,3,random,0,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,serve_salad_lettuce_onionsalad,serve_salad,lettuce-onion salad,0,1,1,1,23.1,23.1,0.0,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0063,0.0134
experiment,experiment2,3,random,2,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,serve_salad_lettuce_onionsalad,serve_salad,lettuce-onion salad,0,1,1,0,23.1,23.1,0.0,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0066,0.011
experiment,experiment2,3,random,4,ok,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,12,11,serve_salad_lettuce_onionsalad,serve_salad,lettuce-onion salad,0,1,1,0,23.1,23.1,0.0,1,1,1.7,1.7,OPTIMAL,OPTIMAL,0.0065,0.01
experiment,experiment2,4,good,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.006,0.006
experiment,experiment2,4,good,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0061,0.0083
experiment,experiment2,4,good,4,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0071,0.0135
experiment,experiment2,4,bad,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,chop_apple,chop,apple,0,3,0,3,20.3,24.3,4.0,0,0,0,,OPTIMAL,OPTIMAL,0.0062,0.0058
experiment,experiment2,4,bad,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,chop_apple,chop,apple,0,3,0,1,20.3,20.3,0.0,2,2,2.4,2.0|0.4,OPTIMAL,OPTIMAL,0.0063,0.0087
experiment,experiment2,4,bad,4,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,chop_apple,chop,apple,0,3,0,0,20.3,20.3,0.0,3,3,4.2,2.0|0.4|1.8,OPTIMAL,OPTIMAL,0.0059,0.0108
experiment,experiment2,4,random,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,mix_apple_bananajuice,mix,apple-banana juice,0,3,1,3,20.3,27.9,7.6,0,0,0,,OPTIMAL,OPTIMAL,0.0058,0.0058
experiment,experiment2,4,random,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,mix_apple_bananajuice,mix,apple-banana juice,0,3,1,1,20.3,20.3,0.0,2,2,3.7,2.0|1.7,OPTIMAL,OPTIMAL,0.0062,0.0084
experiment,experiment2,4,random,4,ok,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,12,11,mix_apple_bananajuice,mix,apple-banana juice,0,3,1,0,20.3,20.3,0.0,3,3,5.5,2.0|1.7|1.8,OPTIMAL,OPTIMAL,0.0059,0.0084
experiment,experiment2,5,good,0,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0072,0.0184
experiment,experiment2,5,good,2,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0072,0.0201
experiment,experiment2,5,good,4,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,23.1,23.1,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0071,0.0112
experiment,experiment2,5,bad,0,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_banana,chop,banana,0,5,0,5,23.1,27.5,4.4,0,0,0,,OPTIMAL,OPTIMAL,0.0074,0.0061
experiment,experiment2,5,bad,2,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_banana,chop,banana,0,5,0,3,23.1,26.3,3.2,2,2,4.1,2.0|2.1,OPTIMAL,OPTIMAL,0.0071,0.0093
experiment,experiment2,5,bad,4,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_banana,chop,banana,0,5,0,1,23.1,23.1,0.0,4,4,6.2,2.0|2.1|0.4|1.7,OPTIMAL,OPTIMAL,0.0071,0.0093
experiment,experiment2,5,random,0,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_banana,chop,banana,0,5,0,5,23.1,27.5,4.4,0,0,0,,OPTIMAL,OPTIMAL,0.0072,0.0063
experiment,experiment2,5,random,2,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_banana,chop,banana,0,5,0,3,23.1,26.3,3.2,2,2,4.1,2.0|2.1,OPTIMAL,OPTIMAL,0.0067,0.0089
experiment,experiment2,5,random,4,ok,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,12,11,chop_banana,chop,banana,0,5,0,1,23.1,23.1,0.0,4,4,6.2,2.0|2.1|0.4|1.7,OPTIMAL,OPTIMAL,0.0068,0.0098
experiment,experiment2,6,good,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0064,0.0107
experiment,experiment2,6,good,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0059,0.0131
experiment,experiment2,6,good,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.006,0.0118
experiment,experiment2,6,bad,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_orange,chop,orange,0,5,0,5,20.3,24.5,4.2,0,0,0,,OPTIMAL,OPTIMAL,0.0059,0.0057
experiment,experiment2,6,bad,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_orange,chop,orange,0,5,0,3,20.3,20.3,0.0,2,2,2.4,2.0|0.4,OPTIMAL,OPTIMAL,0.0059,0.0086
experiment,experiment2,6,bad,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_orange,chop,orange,0,5,0,1,20.3,20.3,0.0,3,3,5.0,2.0|0.4|2.6,OPTIMAL,OPTIMAL,0.0059,0.008
experiment,experiment2,6,random,0,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,4,0,4,20.3,24.3,4.0,0,0,0,,OPTIMAL,OPTIMAL,0.0073,0.0056
experiment,experiment2,6,random,2,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,4,0,2,20.3,20.3,0.0,2,2,2.4,2.0|0.4,OPTIMAL,OPTIMAL,0.0058,0.0099
experiment,experiment2,6,random,4,ok,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,4,0,0,20.3,20.3,0.0,4,4,5.9,2.0|0.4|1.8|1.7,OPTIMAL,OPTIMAL,0.0059,0.0083
experiment,experiment2,7,good,0,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0063,0.0092
experiment,experiment2,7,good,2,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0061,0.0097
experiment,experiment2,7,good,4,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.5,20.5,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.006,0.0095
experiment,experiment2,7,bad,0,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,3,0,3,20.5,24.3,3.8,0,0,0,,OPTIMAL,OPTIMAL,0.0065,0.0057
experiment,experiment2,7,bad,2,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,3,0,1,20.5,20.5,0.0,2,2,2.5,2.1|0.4,OPTIMAL,OPTIMAL,0.0065,0.0085
experiment,experiment2,7,bad,4,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,3,0,0,20.5,20.5,0.0,3,3,4.2,2.1|0.4|1.7,OPTIMAL,OPTIMAL,0.0073,0.0103
experiment,experiment2,7,random,0,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,cook_lettuce_onionsoup,cook,lettuce-onion soup,1,1,0,1,20.5,20.5,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0071,0.0059
experiment,experiment2,7,random,2,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,cook_lettuce_onionsoup,cook,lettuce-onion soup,1,1,0,0,20.5,20.5,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0093,0.0109
experiment,experiment2,7,random,4,ok,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,12,11,cook_lettuce_onionsoup,cook,lettuce-onion soup,1,1,0,0,20.5,20.5,0.0,1,1,2.1,2.1,OPTIMAL,OPTIMAL,0.0069,0.0094
experiment,experiment2,8,good,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0054,0.0054
experiment,experiment2,8,good,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0055,0.0078
experiment,experiment2,8,good,4,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_tomato,chop,tomato,1,0,0,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0057,0.0077
experiment,experiment2,8,bad,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,3,0,3,20.3,24.3,4.0,0,0,0,,OPTIMAL,OPTIMAL,0.0056,0.0056
experiment,experiment2,8,bad,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,3,0,1,20.3,20.3,0.0,2,2,2.4,2.0|0.4,OPTIMAL,OPTIMAL,0.0063,0.0095
experiment,experiment2,8,bad,4,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_apple,chop,apple,0,3,0,0,20.3,20.3,0.0,3,3,4.2,2.0|0.4|1.8,OPTIMAL,OPTIMAL,0.0062,0.009
experiment,experiment2,8,random,0,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0059,0.0095
experiment,experiment2,8,random,2,ok,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,12,11,chop_onion,chop,onion,1,0,1,0,20.3,20.3,0.0,0,0,0,,OPTIMAL,OPTIMAL,0.0072,0.0146
