seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,0,follow_plan,3,1,22.7,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,6,0,
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,2,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,,0,1,A1:chop:ChoppedTomato を置く (完了)
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,4,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,779,2,A1:chop:ChoppedLettuce を置く (完了)|A0:cook:必要な食材 (Chopped) を待機中
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,0,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,776,2,A1:chop:ChoppedLettuce を置く (完了)|A0:cook:必要な食材 (Chopped) を待機中
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,2,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,762,2,A0:cook:必要な食材 (Chopped) を待機中|A1:chop:ChoppedTomato を置く (完了)
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,4,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,779,2,A1:chop:ChoppedLettuce を置く (完了)|A0:cook:必要な食材 (Chopped) を待機中
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,0,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,779,2,A1:chop:ChoppedLettuce を置く (完了)|A0:cook:必要な食材 (Chopped) を待機中
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,good,2,follow_plan,3,1,62.2,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,51,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:chop:FreshLettuce が見つかりません
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,bad,4,follow_plan,3,1,62.2,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,51,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:chop:FreshLettuce が見つかりません
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,good,0,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,759,2,A0:cook:必要な食材 (Chopped) を待機中|A1:chop:ChoppedTomato を置く (完了)
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,2,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,747,2,A0:cook:必要な食材 (Chopped) を待機中|A1:chop:ChoppedTomato を置く (完了)
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,4,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,762,2,A0:cook:必要な食材 (Chopped) を待機中|A1:chop:ChoppedTomato を置く (完了)
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,0,follow_plan,3,1,23.7,,,0,cook_lettuce_tomato :: 調理完了 (Done),1,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,random,2,follow_plan,3,1,37.8,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,35,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,good,4,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_onion :: ターゲットの完成品が入った鍋が見つかりません,949,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOnion が見つかりません
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,random,0,follow_plan,1,0,100.0,2品未完(Juice/Salad/Soup),,0,handover_lettuce_onion :: ターゲットの完成品が入った鍋が見つかりません,929,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOnion が見つかりません
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,good,2,follow_plan,3,1,25.6,,,0,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,3,0,
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,bad,4,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,,0,1,A1:chop:ChoppedOnion を置く (完了)
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,good,0,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,,0,1,A1:chop:ChoppedOnion を置く (完了)
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,bad,2,follow_plan,3,1,32.7,,,0,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,34,0,
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,random,4,follow_plan,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_onion :: ターゲットの完成品が入った鍋が見つかりません,949,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOnion が見つかりません
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,bad,0,follow_plan,3,1,24.2,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,6,0,
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,random,2,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,663,3,A1:chop:ChoppedTomato を置く (完了)|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:受け渡し待ち
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,4,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,664,3,A1:chop:ChoppedTomato を置く (完了)|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:受け渡し待ち
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,0,follow_plan,3,1,41.2,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,71,0,
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,good,2,follow_plan,2,0,100.0,1品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,663,3,A1:chop:ChoppedTomato を置く (完了)|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:受け渡し待ち
