seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,0,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,2,greedy,3,1,26.4,,chop_onion :: FreshOnion の取得,100,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,10,0,
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,4,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,0,greedy,3,1,27.3,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,15,0,
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,2,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,4,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,0,greedy,3,1,30.1,,mix_orange_banana :: 混ぜ完了 (Done),3,,0,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,good,2,greedy,3,1,20.7,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_tomato :: 調理完了 (Done),1,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,bad,4,greedy,3,1,26.8,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,good,0,greedy,3,1,23.4,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,2,greedy,3,1,23.4,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,4,greedy,3,1,23.4,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,0,greedy,3,1,28.5,,mix_orange_banana :: 混ぜ完了 (Done),3,,0,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,random,2,greedy,3,1,20.7,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_tomato :: 調理完了 (Done),1,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,good,4,greedy,3,1,23.4,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,random,0,greedy,3,1,28.8,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
